content,published_at,likes,replies,relevance_score,relevance_score_confidence
"Qatar is not the messenger, that’s Egypts role in the negotiations; Qatar is Hamas defense attorney, and as all mob lawyers, they know they can’t abandon their client. 

Egypt hates Hamas as much as Israel.",2025-09-15 19:52:11.690000+00:00,0,0,4,0.88
"""His speech was smooth as butter, yet war was in his heart."" (Psalm 55:21)

This perfectly captures diplomatic duplicity where public words of peace mask private intentions of violence.
The qatar barbaric state publicly postures as a hostage negotiator, but has a long track record of sheltering, funding, or legitimizing violent groups.

Don’t wanna be bombed and corrected by Israel? Evict your t3rr0r1sts or deliver them to Israel immediately, stop funding t3rr0r1sm, stop your lying goat newspaper of sheet-zeera. You deserved it, you deserved even more, total razing of the city!",2025-09-15 19:52:11.690000+00:00,0,0,5,0.94
"Qatar has been financing Hamas way before it was officially hosting their leadership. And let's remember WHY they were asked to do so, as in 2011 Hamas was actively lobing rockets into Israel. And Qatar is also friendly with Iran, let's not forget this. For decades Qatar has sponsored terrorism in the region so let's not pretend they are the ""aggrieved"" party here.",2025-09-15 19:52:11.690000+00:00,0,0,3,0.86
"""Senior negotiators"" ... how about ""hostage takers""?",2025-09-15 19:52:11.690000+00:00,0,0,4,0.9
I loved Israel after this,2025-09-15 19:52:11.690000+00:00,0,0,4,0.79
"When you look back at 2017 - up until even 2021 when Egypt was doing there own blockade against them for supporting hamas , you realize Qatar needs to decide soon because i believe everyone has had enough",2025-09-15 19:52:11.690000+00:00,0,0,4,0.88
"For some reason, you seem inexplicably biased and pro Israeli 
This video should've been a comprehensive overview of implications of this illegal strikes. 

Instead we get a fkin summary of 3 articles worth of content",2025-09-15 19:52:11.690000+00:00,1,0,3,0.9
I remember seeing this episode high off my butt. It was quite memorable. BTW i think the creepy music was Pink Floyd inspired.,2025-09-15 19:52:11.690000+00:00,0,0,1,0.96
"When the model no longer works, only thing left to do is to break the model; hence attacking Hamas leadership is valid.",2025-09-15 19:52:11.690000+00:00,1,0,5,0.86
"Doha tried to play both sides and got burned, pure and simple.",2025-09-15 19:52:11.690000+00:00,1,0,5,0.92
The question is why would the USA betray Qatar and side with Israel.,2025-09-15 19:52:11.690000+00:00,0,0,5,0.9
"Qatar is a global sponsor of terror and their soft power, i.e. money and media, are doing their best poisoning the minds of academia in the west, pushing their Muslim brotherhood ideology. 
Israel does not owe any niceties to Qatar, who are not good faith intermediaries. 
Israel does not owe Hamas leaders, who keep people in Gaza fighting and are hellbent on redoing Oct 7th, any safe haven.
A pity a couple of the explosives didn't fall on the Al Jazeera headquarters.",2025-09-15 19:52:11.690000+00:00,0,0,5,0.94
qatar turkry n pak all are feathers of same bird??,2025-09-15 19:52:11.690000+00:00,0,0,2,0.48
"DeathtoWarMongers, deathtozionists, deathtoArabTraitors, downfallisrahell, downfallusa🎉",2025-09-15 19:52:11.690000+00:00,1,0,2,0.86
"“Qatar is so poor, all they have is money” is a very strong line. Well done",2025-09-15 19:52:11.690000+00:00,0,0,3,0.9
Know jews no peace. No jews know peace.,2025-09-15 19:52:11.690000+00:00,1,0,1,0.93
"Those ""Israeli jets"" are American jets.",2025-09-15 19:52:11.690000+00:00,1,0,4,0.66
"Bibi will burn the world before he will land behind bars.
I hope there is someone sane enough to stop him.",2025-09-15 19:52:13.794000+00:00,3,0,4,0.88
Very informative video. 💡👍🏾,2025-09-15 19:52:13.794000+00:00,0,0,2,0.95
Would be interesting if the qataris were in on the strike as a scare tactic to get hamas to accept a deal,2025-09-15 19:52:13.794000+00:00,0,0,5,0.9
Why cant the Hamas leadership move to Iran? I'm sure it would all be over  in a few weeks.,2025-09-15 19:52:13.794000+00:00,0,0,4,0.86
4:50 min - interesting 🤔,2025-09-15 19:52:13.794000+00:00,0,0,2,0.78
It's funny to believe hamas was trying to make peace. They have lost that option same as the SS in ww2. There can be no refuge for terrorist anywhere.,2025-09-15 19:52:13.794000+00:00,0,0,4,0.88
"Correction:  The United States, alongside Qatari Patriot batteries did defend Qatar against a ballistic missile attack from Iran in June 2025.  One of the video's comments suggested that the US did not defend Qatar.",2025-09-15 19:52:13.794000+00:00,0,0,5,0.9
The Qataris and Saudis obviously knew what was under way,2025-09-15 19:52:13.794000+00:00,0,0,4,0.86
"I mean, you made the point that Qatar was likely involved in the attack. So I'm not sure what the end of the video was for. This wasn't a matter of Qatar being attacked, but Hamas leaders being killed. Now Qatar has played the ""both sides are being unreasonable"" card, but they have to. They can't come out and say Hamas is a POS and they are done with them. The attack was likely sanctioned by Qatar, United States, and Saudi Arabia. Why would Qatar allow it? Likely they are done with them, but don't want the blame for it. So they get rid of a problem and get to to condemn Israel at the same time.",2025-09-15 19:52:13.794000+00:00,1,0,5,0.9
"Ah yes Qatar, the hush money slave country that bought off FIFA ☠",2025-09-15 19:52:13.794000+00:00,0,0,2,0.9
Qatar is not a messenger..its the source of terror...,2025-09-15 19:52:13.794000+00:00,1,0,5,0.9
"If anything shows you that Israel is the one who refuses to have peace in the Middle East, it's that their very long history of murdering or attempting to murder the people trying to broker peace.. They started these political assassinations with the killing a UN member back in 48. Israel has always been the number one terrorist faction of the Middle East its entire existance and the Zionist groups who created Isreal were the ones to first use terrorism in the middle east.",2025-09-15 19:52:13.794000+00:00,0,0,4,0.79
"Qatar almost ertainly were informed before the strike happened, and forced under some unknown negotiation to accept the strike.",2025-09-15 19:52:13.794000+00:00,0,0,5,0.93
Not messager but invester and funder.,2025-09-15 19:52:13.794000+00:00,0,0,4,0.66
"Shouldn't have been hosting hamas terrorists for so long, screw Qatar and everybody who hosts terrorists.",2025-09-15 19:52:13.794000+00:00,3,0,5,0.95
Doha knew. They wanted to rid of Hamas as they were becoming a liability and were of little use for them.,2025-09-15 19:52:13.794000+00:00,0,0,5,0.9
I DONT NEED GROUND NEWS TO TELL ME WHAT TO THINK,2025-09-15 19:52:13.794000+00:00,0,0,1,0.9
I didn’t even think about the security guarantees . If isreal can strike them whenever what is the point.,2025-09-15 19:52:13.794000+00:00,0,0,5,0.93
I have a theory on why the US is playing dumb with Israeli aggression. The US is using Israel to flex its capabilities. Think about it.,2025-09-15 19:52:13.794000+00:00,0,0,4,0.82
You don't need to be a rocket scientist to figure that this was an ambush set up by both The US and Israel,2025-09-15 19:52:13.794000+00:00,0,0,5,0.9
I can't think of a bigger betrayal than Israel attacking a mediator in peace talks. Absolutely disgusting...,2025-09-15 19:52:16.199000+00:00,0,0,5,0.94
Every leader and policy maker should finally learn that the USA and Israel cannot be trusted at all. Their security guarantees are worthless and they will kill negotiators (or anyone else). Violence is the only language they understand.,2025-09-15 19:52:16.199000+00:00,0,0,5,0.9
"If Qatar is a messager, the Osama bin Laden must be envoy of such kingdom. You can imagine how dirty and ruthless the kingdom can be.",2025-09-15 19:52:16.199000+00:00,0,0,3,0.68
"How did they overfly Jordan, Iraq, Kuwait and Saudi Arabia without being detected? Impossible.",2025-09-15 19:52:16.199000+00:00,0,1,5,0.92
The sand Jews are finally waking up.,2025-09-15 19:52:16.199000+00:00,0,0,2,0.93
America disabled their defense system in Doha allowing Israeli Jet fighters to fly inside  Qatar airspace,2025-09-15 19:52:16.199000+00:00,0,0,5,0.93
"Let’s see how-long these foolish Kings take , to wake-up .
Not only are their defence-agreements meaningless , and their , own , populations against their policies , but also that their “investments” in the West , will be appropriated (stolen)",2025-09-15 19:52:16.199000+00:00,0,0,3,0.66
شوي شوي رح يعملو اتفاقية مع الحكومة و يرجعوا لحضن الوطن,2025-09-15 19:52:16.199000+00:00,0,0,2,0.58
No safe havens for lslamic terrosists. Hurray🎉,2025-09-15 19:52:16.199000+00:00,0,0,4,0.8
Israel won’t attack Egypt. They should resume talks there,2025-09-15 19:52:16.199000+00:00,0,0,4,0.88
The whole World subject to the whims of two men who refuse to be bald,2025-09-15 19:52:16.199000+00:00,0,0,2,0.33
Qatar is a bad actor. Support Muslim brotherhood and propaganda outlet by Al jezeera. They are radical Islamist and hate the West. Truth!,2025-09-15 19:52:16.199000+00:00,0,0,3,0.86
"Not even going to mention, Qatar funds humus to a great degree?",2025-09-15 19:52:16.199000+00:00,0,0,4,0.82
"Netanyahu thrives on wars, instability & conflict; the US under Trump administration is relying solely on the projection of hard power; the Arabs have failed to develop their own defense capabilities to defend themselves=all these factors have disturbed the geopolitical landscape of Middle East.",2025-09-15 19:52:16.199000+00:00,0,0,3,0.8
Wait if half are right leaning that’s balance not distortion.,2025-09-15 19:52:16.199000+00:00,0,0,3,0.64
"On second 50 you have completely failed with the information you are passing

Qatar is the funder and perpetrator of Hamas and it's agenda.

You need to be a special kind of i**ot to consider them as the only serious channel for anything.

The attack was a signal that Israel is running out of patience and that unless there are real results - Qatar is as valid a target as Iran.",2025-09-15 19:52:16.199000+00:00,0,0,5,0.93
they just flew a flew gas tanks with them,2025-09-15 19:52:16.199000+00:00,0,0,4,0.68
Read Mazzinis letter and tell me its a hoax,2025-09-15 19:52:16.199000+00:00,0,0,2,0.64
"US: ""Hey Hezbhollah, let's talk peace.""
Hezbollah: ""Ok.""
Israel kills the negotiators.
US: ""Hey Iran, let''s talk peace.""
Iran: ""Ok.""
Israel kills the negotiators.
US: ""Hey Hamas, let's talk peace.""
Hamas: ""Ok.""
Israel kills the negotiators.

I'm beginning to notice a pattern.",2025-09-15 19:52:16.199000+00:00,0,1,4,0.88
"“There has been little coverage of this angle though, of the 97 media outlets that reported on it, nearly half were right leaning. Such imbalance is dangerous..”

Is that an imbalance? Does Ground News actually give you the article to read or just report of the political leanings/bias being reported?",2025-09-15 19:52:16.199000+00:00,0,0,5,0.94
Qatar allowed it,2025-09-15 19:52:18.378000+00:00,0,0,5,0.92
"Ha let's get it through our thick skulls. Israel does not want peace, and Gaza is going to be perfectly annexed. Stop dancing around the issue, because Israel has said their goals loud and clear.",2025-09-15 19:52:18.378000+00:00,0,0,3,0.86
Why they keep killing people who tried cease fire? and why they always the ones to break it? I'm sure we all know the answers.,2025-09-15 19:52:18.378000+00:00,0,0,4,0.66
"I don't see how that iran attack damaged the value of american security guarantees. Israel->hamas strike *might*, but not if everyone knew beforehand as you speculated in this video. The saber rattling is for their own people and their neighbors. We will know if qatar pulls its pants up and strikes back at israel.",2025-09-15 19:52:18.378000+00:00,0,0,5,0.92
"watch 5 min Al Jazeera and you will see Qatar  doesn't want peace.   qatar celebrate the 7 of oct, they act as propaganda channel for Hamas and Hizballllla",2025-09-15 19:52:18.378000+00:00,0,0,3,0.74
I remember a time when bombing a sovereign country was an act of war but I guess the rules are different when you have the US on a short leash,2025-09-15 19:52:18.378000+00:00,0,0,5,0.9
This whole situation makes plain which state needs to be on the receiving end of ballistic missiles.,2025-09-15 19:52:18.378000+00:00,0,0,2,0.56
The fact that one of the biggest supporters of jihadi terrorism and cultural savagery through the Muslim Brotherhood isn't destroyed it's a stain on all Western countries. Even more shameful to consider that these demons are business partners to many.,2025-09-15 19:52:18.378000+00:00,0,0,3,0.7
"Win win for Israel. Get Qatar to make a united front with Arab nations, gives Israel an excuse to carry out its Greater Israel plan",2025-09-15 19:52:18.378000+00:00,0,0,2,0.66
them arab leaders have fuked up = america is the cause of all the chaos in the area = they have made the whole area into slaves,2025-09-15 19:52:18.378000+00:00,0,0,3,0.74
"They flew through syria, irag then the sea got refilled with adjusted UK tankers then they hit qater",2025-09-15 19:52:18.378000+00:00,0,0,5,0.86
Almost like isreal doesnt like muslims huh,2025-09-15 19:52:18.378000+00:00,0,0,2,0.64
Raze the barbarians to the ground.,2025-09-15 19:52:18.378000+00:00,0,0,1,0.48
"The lesson is every man for himself,and it's delusional to think rhe US care for its allies except israel",2025-09-15 19:52:18.378000+00:00,0,0,5,0.9
Comment sections are cancer.       Remove the comment section,2025-09-15 19:52:18.378000+00:00,0,0,1,0.98
Hamas are terrorists.,2025-09-15 19:52:18.378000+00:00,0,0,3,0.9
"Ok, let's be honest... had the Qatari government taken a different stance, regarding the missile attack of Iran... the Israeli government may not have been so emboldened to conduct their operations in Qatar.
(my personal thoughts... but, I've been wrong before)",2025-09-15 19:52:18.378000+00:00,0,0,4,0.86
"You are negating the stealth external tanks Israel developed and that Israel builds the F35 wings.

The missiles were caught by US Air Defense. Centcom warned the President who warned Qatar.",2025-09-15 19:52:18.378000+00:00,0,0,5,0.95
Why is nobody mentioning the Iranian breach of Qatar's  supposed sovereignty when they launched ballistic missiles at the American base in a staged effort to save face for getting bitch slapped and having their teeth kicked into the curb by Israel?,2025-09-15 19:52:18.378000+00:00,1,0,4,0.86
"Thank you, Shirvan. I have seen no other channel (certainly not the standard media) address the most glaringly obvious fact about this attack: Other countries' airspace was used by Israel to get at Qatar. If without permission, then Israel invaded those countries airspace. If with permission, then those countries were complicit in the attack.",2025-09-15 19:52:18.378000+00:00,0,0,5,0.92
Never has evil had such impunity. There will be a reckoning.,2025-09-15 19:52:21.265000+00:00,0,0,2,0.55
How do you know it was over Saudi airspace what if they went over Iraq and Kuwait and into Persian gulf? Maybe they refueled over Iraq first? You didn’t even try major that assumption? Why?,2025-09-15 19:52:21.265000+00:00,0,0,5,0.93
"Qatar should be punished first, then the Middle East will be in peace.",2025-09-15 19:52:21.265000+00:00,0,0,3,0.86
"Idk maybe having terrorists in your country is an on site type problem nowadays 
* *SHRUGS * *",2025-09-15 19:52:21.265000+00:00,0,0,4,0.9
"The Americans were probably aware. Informed the arab nations last minute of what was going to happen and told them to stand down. Countries like Qatar most likely had no choice but to accept it. So now they say they weren't aware, because they didn't want to lose face. 
America's forceful approach is going to get backlash in the long run. The US is evaporating it's soft power, all that will remain is hard power.",2025-09-15 19:52:21.265000+00:00,0,0,5,0.88
I wonder how much collateral damage there was in the bombings.,2025-09-15 19:52:21.265000+00:00,0,0,4,0.89
"It's interesting that you totally ignore the possibility of going above Syria and Iraq through the Gulf. Which, by the way, would be the preferred way due to lack of air defense in both countries! Instead, you insisted that the strikes carried on above Saudi Arabia.😂",2025-09-15 19:52:21.265000+00:00,1,0,5,0.88
I was gonna say something but im kinda scared 2 lol 😅,2025-09-15 19:52:21.265000+00:00,0,0,1,0.86
"Not that innocent.
Funds for the tunnels, weapons, explosives, combat gear, transportation. Look for the money, or is it taxes from citizens, exports, tourism ?",2025-09-15 19:52:21.265000+00:00,0,0,3,0.6
Gaza should NEVER have s ceasefire. It rightfully belongs to Israel and they never should have given it up in 2005.,2025-09-15 19:52:21.265000+00:00,0,0,3,0.92
I wonder how they would feel if a neighboring nation flew over and bombed something in their country. Outrageous. It’s time for the UN to grow some teeth and stop this insane behavior.,2025-09-15 19:52:21.265000+00:00,0,0,4,0.9
"Why not call it what the ""conflict"" actually is??",2025-09-15 19:52:21.265000+00:00,0,0,2,0.48
"Us has lost its image as a global power under trump

It's just a selfish bully nothing else",2025-09-15 19:52:21.265000+00:00,0,0,3,0.68
"Ground News does not source from CGTN a main official news source for china. How is it reliable, and not bias ??",2025-09-15 19:52:21.265000+00:00,0,0,2,0.72
Nice.,2025-09-15 19:52:21.265000+00:00,0,0,1,0.9
"Israel should be treated as an outcast 

It has become a rouge nation",2025-09-15 19:52:21.265000+00:00,0,0,3,0.88
X,2025-09-15 19:52:21.265000+00:00,0,0,1,0.99
"Isreal: bomb baby bomb,
Isreal: we want peace.",2025-09-15 19:52:21.265000+00:00,0,0,3,0.84
"People need to start seeing it for what it is. Israel’s just doing it on purpose at this point, how are you still attacking people when they are literally asking for a cease-fire, it’s simple There is no cease-fire. There is no peaceful talks. They don’t want that because it’s not in their best interests, They want to go to war and drag the whole World with them all for some God forsaken strips of land in the desert",2025-09-15 19:52:21.265000+00:00,0,0,3,0.74
"Just like what the US could and did do in Ukraine, they can just turn off their equipment if they decide too",2025-09-15 19:52:23.458000+00:00,0,0,4,0.72
"Qatar is a sponsor of terrorism hiding behind an American military base .

President Trump knows the two faced Qataris and bypassed the entrenched bureaucracy to make it happen (Qatar being bombed)",2025-09-15 19:52:23.458000+00:00,0,0,4,0.9
"I bet Hamas bitterly regrets the October 7 attack. They knew Israel would respond, but they thought they would quickly flee to Gaza and hide among the civilians. They never expected such a harsh response that is still ongoing. The second bet is that for at least 100 years the Palestinians will not repeat this terrorist attack on Israeli civilians.",2025-09-15 19:52:23.458000+00:00,3,2,2,0.86
"Qatar is a state sponsor of terrorism 
Well deserved.",2025-09-15 19:52:23.458000+00:00,1,0,3,0.9
That country just does whatever the heck it wants,2025-09-15 19:52:23.458000+00:00,0,0,3,0.57
"Hopefully those that normalized relations reverse course. Satanyahu came out and said it himself, that they will target wherever certain people are. There is no limit to his transgressions. No one should trust him. He also directly undermined Trump, where the latter claimed Qatar wouldn’t be targeted again.

I highly doubt Qatar knew ahead of time, since Hamas was already signaling that they would accept the peace deal. Why wouldn’t Qatar want the credit for this mediation? Also, at the same time, Qatar is also mediating between Russia and Ukraine. The latter parties would never trust Qatar going forward, if this was true.

This is probably thing that could’ve possibly happened to the Muslim world, they need to stop cooperating with the duplicitous US and her allies and rely more their own sphere, such as you mentioned with Turkey. Hope Qatar kicks the US out of its lands as well.",2025-09-15 19:52:23.458000+00:00,0,0,5,0.9
🇶🇦 🇹🇷 let us teach the Israelis a lesson they never forget 😉,2025-09-15 19:52:23.458000+00:00,0,0,4,0.92
Israel needs a hard check,2025-09-15 19:52:23.458000+00:00,0,0,3,0.72
Scumbags,2025-09-15 19:52:23.458000+00:00,0,0,2,0.35
"So the F35 flyover Saudi Arabia for 1700 km without noticing them, is this a joke",2025-09-15 19:52:23.458000+00:00,0,0,5,0.94
"I am not at all happy with this strike, having understood the relationship and importance of this for years,  it is my perspective that this is a profound insult to the United States, nevermind the clear violation of Qatar sovereignty.",2025-09-15 19:52:23.458000+00:00,0,0,5,0.9
"Well done Israel, Qatar has been funding terror and propaganda all over the world including inside the US",2025-09-15 19:52:23.458000+00:00,0,0,3,0.88
"golan heights should be striped like gaza and the west bank, it is internationally recognized as occupied syrian land",2025-09-15 19:52:23.458000+00:00,0,0,2,0.87
Qatar are Muslim Brotherhood terror state,2025-09-15 19:52:23.458000+00:00,0,0,3,0.8
Israel is a burden and a bad ally. The USA needs to abandon them and let the Middle East cannibalize itself.,2025-09-15 19:52:23.458000+00:00,0,3,3,0.74
"I like your reporting but the biases are overwhelming:

- Israel didn’t strike Qatar to weaken a security threat, but to prevent a ceasefire

- Israel isn’t frustrated with the ceasefire negotiations, but is the one preventing them

- No mention of Palestinian hostages released during the temporary ceasefire, and no mention of who broke it and refused to negotiate",2025-09-15 19:52:23.458000+00:00,0,0,5,0.9
Disgusting snakes.,2025-09-15 19:52:23.458000+00:00,1,0,2,0.46
Why didn't US defenses knock down Israeli missiles? America is run by cowards.,2025-09-15 19:52:23.458000+00:00,0,2,4,0.82
"If you support terrorists, you are a terrorist and will be treated accordingly. Qatar is a terrorist heaven and has no legality as a state.",2025-09-15 19:52:23.458000+00:00,3,0,3,0.87
Yeah bloced your chanel for pro genocide propaganda. Hope lying pays well because there will be a price too some day.,2025-09-15 19:52:25.535000+00:00,0,1,2,0.86
"imagine what the IDF could do if it wasn't the most ""moral"" army in the world.",2025-09-15 19:52:25.535000+00:00,0,0,2,0.82
Qatar is a terrorist state... Even Saudi Arabia diplomat said so lol,2025-09-15 19:52:25.535000+00:00,4,3,3,0.74
"If the small-hats have no backing of a bigger bully, they won't be doing all these. UN is useless anyways, just like the previous League.",2025-09-15 19:52:25.535000+00:00,0,0,3,0.76
I kinda get why God is always punishing the jews in the old testament,2025-09-15 19:52:25.535000+00:00,0,0,2,0.92
🇮🇱🇮🇱🇮🇱🫡🫡🫡,2025-09-15 19:52:25.535000+00:00,0,0,2,0.9
Attacking another sovereign nation to stall negotiation is some hardcore narcissistic stuff,2025-09-15 19:52:25.535000+00:00,0,0,5,0.9
W israel,2025-09-15 19:52:25.535000+00:00,0,0,3,0.87
"It sucks for Qatar that US security guarantees didn't amount to much, but I don't see how Turkey would be any better. Iran would have still bombed them and Turkey wouldn't do anything.",2025-09-15 19:52:25.535000+00:00,0,0,5,0.96
You touch on it but I think you gloss over it. Qatar MUST stop hosting Hamas leadership. They have ZERO interest in achieving any form of ceasefire. And your analysis of Turkey is off. Turkey won't be allowed anywhere near Qatar.,2025-09-15 19:52:25.535000+00:00,2,0,5,0.9
"there are only 300,000 qatari nationals,  rest of the 3m population are expatriates from India, Pakistan, Bangladesh.",2025-09-15 19:52:25.535000+00:00,0,0,2,0.83
The US does need to get its dog back ok its leash. Can't be having the Israelis escalate all our fights for us. We're the ones gotta bear the burden of all this shit,2025-09-15 19:52:25.535000+00:00,0,1,4,0.9
Basterds !! The Zioz Angloz,2025-09-15 19:52:25.535000+00:00,0,0,2,0.8
it's already been admitted that the brits refueled the israeli jets,2025-09-15 19:52:25.535000+00:00,0,0,5,0.92
Israeli war crimes continue making the world an unsafe place.,2025-09-15 19:52:25.535000+00:00,0,1,3,0.77
Your videos would be even more plausible if you didn't claim that you 'asked' ground news to sponsor,2025-09-15 19:52:25.535000+00:00,0,0,1,0.96
Love the animation in your videos ... Goes a great way in understanding geopolitics. Keep educating and entertaining.,2025-09-15 19:52:25.535000+00:00,0,0,2,0.9
"""so poor all you have is money""
Lol this is a quote people in Hong Kong said",2025-09-15 19:52:25.535000+00:00,0,0,1,0.91
"Trump is a puppet, he is blackmailed severely",2025-09-15 19:52:25.535000+00:00,3,2,2,0.74
Netanyahu can’t afford peace he will go to jail so he has to keep War going,2025-09-15 19:52:27.838000+00:00,3,4,3,0.82
"Its simple: Trump is compromised by Mossad. Epstein had compromising evidence of all US top level government members, they now behave how Israel wants them to behave.",2025-09-15 19:52:27.838000+00:00,0,1,3,0.6
"USA (softly) : Don't... Please. Don't... 🙏
Israel : We have the Epstein clients list 👀
USA : ... 😑",2025-09-15 19:52:27.838000+00:00,0,2,3,0.8
Hamas is truly the modern day equivalent of the Nazis. They are beyond redemption.,2025-09-15 19:52:27.838000+00:00,1,2,2,0.88
1:18,2025-09-15 19:52:27.838000+00:00,0,0,2,0.35
Why are we still pretending Israel is our Ally they would see every American die if it benefited them in the slightest,2025-09-15 19:52:27.838000+00:00,0,0,4,0.88
One US ally is greater and more equal than every other US ally.,2025-09-15 19:52:27.838000+00:00,0,1,4,0.82
BIBI IS GOD!🇮🇱🇮🇱🇮🇱,2025-09-15 19:52:27.838000+00:00,1,0,2,0.95
"7:18
So everything is speculation and no Facts.",2025-09-15 19:52:27.838000+00:00,0,0,4,0.88
"Greater 🇮🇱 demands land from Egypt, Lebanon, Jordan, Turkey, Syria, Iraq and parts of Arabia. 

There is no room for Palestine.",2025-09-15 19:52:27.838000+00:00,0,3,2,0.82
Good! It’s time that emirate pays a price for funding terrorists and then protecting them!,2025-09-15 19:52:27.838000+00:00,2,0,4,0.9
"Qatar hosts endless terrorists of Hamas. That makes them a legitimate target for Israel. The US took over significant parts of Iraq and Afghanistan for nearly 20 years killing close to 400,000 people.  Israel, which had hundreds of hostages taken and bombed constantly for 20 years from Gaza will do anything necessary to insure the safety of their citizens. Did the US do anything less?  Why the double standard?",2025-09-15 19:52:27.838000+00:00,0,0,5,0.95
"The whole middle East including Qatar bought radar systems and fighter jets from America
But when Israel flew their F-35s to conduct assassination mission, America turned them off to help Israel, so Qatar and other middle east countries were blindfolded....
So now who dares to buy weapon systems from USA?",2025-09-15 19:52:27.838000+00:00,0,2,5,0.93
"how the mighty have fallen
usa has lost its protestant ethic, and now all that remains is imminent collapse.",2025-09-15 19:52:27.838000+00:00,0,1,3,0.61
Israel will be the cause of American downfall. The US’s place as security guarantor is tarnished now.,2025-09-15 19:52:27.838000+00:00,0,0,5,0.9
"Caspian it's getting increasingly difficult for you to play this unbiased role, it seems like you are begging it now. Too many lives have been shed. Use your platform to really expose the Israeli government.",2025-09-15 19:52:27.838000+00:00,0,1,3,0.82
You talk about Qatar playing both sides. But there's a 3rd side: they've spent a minimum of $30 billion propagandizing progressives and students in America and affecting the media around the world and the UN. They have promoted terrorism the entire time. They have sent billions to Hamas. They are actually the most radical regime in the area outside of Iran. And they are not remotely a neutral intermediary.,2025-09-15 19:52:27.838000+00:00,0,0,5,0.9
The real question is why is Qatar harboring terrorists,2025-09-15 19:52:27.838000+00:00,0,0,5,0.95
